Specifications,Nikon Z30,Sony ZV - E10,Canon R50
Sensor Size,23.5mm x 15.7mm,23.5mm x 15.6mm,22.3mm x 14.9mm
Crop Factor,1.5,1.5,1.6
Effective Pixels,20.9 million,24.2 million,24.2 million
Autofocus Points,209,425,527
Max FPS (4K/1080p),30/120 fps,30/120 fps,30/120 fps
Video ISO Range,100 - 25600,100 - 32000 (800 - 32000 in S - Log 3),100 - 12800
Codec (4K),H.264,H.264,"H.264, H.265 (10 - bit 4:2:2 when HDR PQ is enabled)"
Color Information,8 - bit 4:2:0,8 - bit 4:2:0,10 - bit 4:2:2 / 8 - bit 4:2:0
LCD Screen,3 - inch fully articulating,3 - inch fully articulating,3 - inch fully articulating
Electronic Viewfinder,No,No,Yes (2.36 million dots)
Dimensions,128 x 74 x 60 mm,115 x 64 x 45 mm,116 x 86 x 69 mm
Weight (with card and battery),405 g,343 g,375 g
Card Slots,SD / SDHC / SDXC (UHS - I compatible),SD / SDHC / SDXC + Memory Stick Pro Duo,SD / SDHC / SDXC (UHS - I compatible)
Data Rate,"144 Mbps (4K - 35 minutes, 1080p - 125 minutes)",100 Mbps (13 hours),120 Mbps (1 hour)
"Price (body only, in HKD)","5,590","4650	","5,480"